"catmat","item_tratado","outcome","doador_catmat","descricao_doador","omega"
606522,"Café torrado moído torra escura","n_fornecedores","463904","CONDIMENTO, TIPO: LOURO , APRESENTAÇÃO: FOLHA ",0.0155885972502555
606522,"Café torrado moído torra escura","n_combinacoes_unidade","460386","PÃO, BASE: DE FARINHA DE TRIGO REFINADA , TIPO: SEMI-DOCE , TIPO ADICIONAL: BISNAGA, CACHORRO QUENTE ",0.370567271824396
606522,"Café torrado moído torra escura","n_combinacoes_unidade","463937","CONDIMENTO, TIPO: URUCUM , APRESENTAÇÃO: PÓ ",0.22458977563891
606522,"Café torrado moído torra escura","n_combinacoes_unidade","436134","ADOÇANTE, ASPECTO FÍSICO: LÍQUIDO , INGREDIENTES: SUCRALOSE, ACESULFAME DE POTáSSIO, BENZOATO DE SÓD , TIPO: DIETÉTICO , CARACTERÍSTICAS ADICIONAIS: ACIDULANTE áCIDO CíTRICO,CITRATO DE SÓDIO ",0.131707096947665
606522,"Café torrado moído torra escura","n_combinacoes_unidade","339479","TEMPERO, TIPO: CALDO , APRESENTAÇÃO: PÓ , APLICAÇÃO: USO CULINÁRIO , SABOR: CARNE ",0.0678677765148677
606522,"Café torrado moído torra escura","n_combinacoes_unidade","463536","CHOCOLATE, TIPO: PRETO , APRESENTAÇÃO: MASSA , SABOR: AO LEITE , PRAZO VALIDADE MÍNIMO: 12 MESES ",0.0652572616328854
606522,"Café torrado moído torra escura","n_combinacoes_unidade","463699","GORDURA VEGETAL, TIPO: MARGARINA , SUBTIPO: CREMOSA , COMPOSIÇÃO BÁSICA: MÍNIMO DE 80% DE GORDURA , SABOR: COM SAL ",0.0416880370466508
606522,"Café torrado moído torra escura","n_combinacoes_unidade","235092","BISCOITO, APRESENTAÇÃO: QUADRADO , CLASSIFICAÇÃO: SALGADO , TIPO: CREAM CRACKER ",0.0407094771419094
606522,"Café torrado moído torra escura","n_combinacoes_unidade","446393","MANTEIGA, TIPO: PRIMEIRA QUALIDADE , COMPOSIÇÃO: COM SAL ",0.0368082231232384
606522,"Café torrado moído torra escura","n_combinacoes_unidade","446019","LEITE EM PÓ, ORIGEM: DE VACA , TEOR GORDURA: INTEGRAL , SOLUBILIDADE: INSTANTÂNEO ",0.0208050801294766
606522,"Café torrado moído torra escura","median_preco","447448","CARNE BOVINA IN NATURA, TIPO CORTE: PATINHO , APRESENTAÇÃO: PEÇA INTEIRA , ESTADO DE CONSERVAÇÃO: CONGELADO(A) ",0.222128745450277
606522,"Café torrado moído torra escura","median_preco","448999","PEIXE EM CONSERVA, VARIEDADE: ATUM , APRESENTAÇÃO: RALADO , MEIO DE COBERTURA: COM ÓLEO COMESTÍVEL ",0.15858347001863
606522,"Café torrado moído torra escura","median_preco","446654","QUEIJO, ORIGEM: DE VACA , VARIEDADE: RICOTA , TIPO: FRESCO , APRESENTAÇÃO: PEÇA ",0.122239793859047
606522,"Café torrado moído torra escura","median_preco","447446","CARNE BOVINA IN NATURA, TIPO CORTE: PATINHO , APRESENTAÇÃO: MOIDA , ESTADO DE CONSERVAÇÃO: CONGELADO(A) ",0.121074219405477
606522,"Café torrado moído torra escura","median_preco","447479","CARNE BOVINA IN NATURA, TIPO CORTE: MIOLO OU CORAÇÃO DA ALCATRA , APRESENTAÇÃO: PEÇA INTEIRA , ESTADO DE CONSERVAÇÃO: CONGELADO(A) ",0.0999062208931673
606522,"Café torrado moído torra escura","median_preco","463534","CHOCOLATE, TIPO: BRANCO , APRESENTAÇÃO: MASSA , SABOR: TRADICIONAL , PRAZO VALIDADE MÍNIMO: 12 MESES ",0.0950557853545717
606522,"Café torrado moído torra escura","median_preco","462662","DOCE NÃO CONFEITADO, TIPO: EM CALDA , SABOR: AMEIXA ",0.0855268883150299
